seq,global_ts,power.ts,power.current,power.voltage,steering.ts,steering.brake_pressure,steering.turn_angle,rpm_front.ts,rpm_front.rpm_left,rpm_front.rpm_right,rpm_back.ts,rpm_back.rpm_left,rpm_back.rpm_right,gps.ts,gps.lat,gps.long,gps.heading,gps.speed,motor.ts,motor.rpm,motor.throttle,filtered.speed,_t_publish_ns,timestamp
104502,797163731,1125667068,19.69651985168457,50.03428649902344,1124944005,1.2378021478652954,0.3682783842086792,0,nan,nan,1124941355,179.08309936523438,165.75318908691406,796275718,39.79201126098633,-86.23306274414062,141.1300048828125,4.586268424987793,1124937267,159.49710083007812,0.30414173007011414,5.098911285400391,1775743572287497764,1775743572289368483
104504,797178354,1125680680,19.333881378173828,50.363075256347656,1124958076,1.2378021478652954,0.3715018332004547,0,nan,nan,1124955795,181.299560546875,165.75318908691406,796275718,39.79201126098633,-86.23306274414062,141.1300048828125,4.586268424987793,1124951851,159.71047973632812,0.30334192514419556,5.108208656311035,1775743572307478296,1775743572308447294
104508,797207279,1125710978,24.08846092224121,49.937583923339844,1124987350,1.2386080026626587,0.36989009380340576,0,nan,nan,1124984546,179.34002685546875,165.75318908691406,796275718,39.79201126098633,-86.23306274414062,141.1300048828125,4.586268424987793,1124980845,160.25314331054688,0.30387014150619507,5.120494842529297,1775743572327488439,1775743572328572786
104510,797221389,1125724031,20.623258590698242,49.782859802246094,1125000684,1.2386080026626587,0.3763369917869568,0,nan,nan,1124998593,177.7925262451172,165.75318908691406,796275718,39.79201126098633,-86.23306274414062,141.1300048828125,4.586268424987793,1124994496,160.49746704101562,0.3043089210987091,5.12604284286499,1775743572347578099,1775743572348556355
104512,797235789,1125738038,21.30824089050293,50.053627014160156,1125014350,1.2378021478652954,0.37069597840309143,0,nan,nan,1125013172,176.98696899414062,19.555286407470703,796275718,39.79201126098633,-86.23306274414062,141.1300048828125,4.586268424987793,1125009183,160.742919921875,0.30440646409988403,5.019385814666748,1775743572367715943,1775743572369167356
104516,797263209,1125766645,23.322893142700195,49.87956237792969,1125043145,1.2265201807022095,0.37069597840309143,0,nan,nan,1125040480,179.97695922851562,179.18577575683594,796275718,39.79201126098633,-86.23306274414062,141.1300048828125,4.586268424987793,1125036787,161.19996643066406,0.3060981035232544,5.062880516052246,1775743572387485035,1775743572388288110
104518,797277793,1125779969,20.139741897583008,49.49274444580078,1125056870,1.239413857460022,0.37391939759254456,0,nan,nan,1125055087,180.2018280029297,180.49673461914062,796275718,39.79201126098633,-86.23306274414062,141.1300048828125,4.586268424987793,1125051231,161.42637634277344,0.30599600076675415,5.08436918258667,1775743572407493548,1775743572408567358
104522,797305084,1125808590,21.630584716796875,49.53142547607422,1125084808,1.2410255670547485,0.36989009380340576,0,nan,nan,1125082076,178.16419982910156,182.41073608398438,796275718,39.79201126098633,-86.23306274414062,141.1300048828125,4.586268424987793,1125078158,161.88522338867188,0.30795368552207947,5.117185592651367,1775743572427471006,1775743572428374042
104524,797319605,1125821892,20.744138717651367,49.72483825683594,1125099111,1.2369962930679321,0.3690842390060425,0,nan,nan,1125097033,178.13034057617188,178.57142639160156,796275718,39.79201126098633,-86.23306274414062,141.1300048828125,4.586268424987793,1125093179,162.16537475585938,0.30818814039230347,5.13291597366333,1775743572447513611,1775743572448789047
104526,797335196,1125836363,21.630584716796875,49.97626495361328,1125112591,1.239413857460022,0.3763369917869568,0,nan,nan,1125111385,177.28819274902344,178.2997283935547,796275718,39.79201126098633,-86.23306274414062,141.1300048828125,4.586268424987793,1125108467,162.39059448242188,0.3086017370223999,5.147011756896973,1775743572467583827,1775743572470880219
104528,797355987,1125851995,18.769779205322266,50.34373474121094,1125129009,1.2378021478652954,0.3690842390060425,0,nan,nan,1125128793,179.64932250976562,177.3217315673828,796275718,39.79201126098633,-86.23306274414062,141.1300048828125,4.586268424987793,1125128804,162.77597045898438,0.3089018762111664,5.161456108093262,1775743572487498268,1775743572490497574
104532,797384099,1125887384,25.619596481323242,49.454063415527344,1125163946,1.2369962930679321,0.3690842390060425,0,nan,nan,1125161637,175.70986938476562,178.52041625976562,796275718,39.79201126098633,-86.23306274414062,141.1300048828125,4.586268424987793,1125157634,163.2113494873047,0.30701741576194763,5.182675361633301,1775743572507483411,1775743572508587702
104534,797399621,1125901107,23.2825984954834,49.80220031738281,1125179148,1.2386080026626587,0.37794870138168335,0,nan,nan,1125176810,175.43038940429688,173.3703155517578,796275718,39.79201126098633,-86.23306274414062,141.1300048828125,4.586268424987793,1125172831,163.4273681640625,0.306286096572876,5.189115524291992,1775743572528457200,1775743572529544065
104536,797416298,1125916409,19.333881378173828,49.82154083251953,1125192598,1.2378021478652954,0.37794870138168335,0,nan,nan,1125192163,177.07054138183594,174.5485076904297,796275718,39.79201126098633,-86.23306274414062,141.1300048828125,4.586268424987793,1125189545,163.6920928955078,0.3057962656021118,5.1973795890808105,1775743572547458550,1775743572551354855
